epoch,epoch_time,compilation_time,run_name,framework,model_name,image_size,batch_size,trial_num
0,414.9819121360779,19.06425,inceptionresnetv2_size299_batch12_trial_0,keras,inceptionresnetv2,299,12,0
1,383.1555140018463,19.06425,inceptionresnetv2_size299_batch12_trial_0,keras,inceptionresnetv2,299,12,0
2,384.2619252204895,19.06425,inceptionresnetv2_size299_batch12_trial_0,keras,inceptionresnetv2,299,12,0
3,384.00122570991516,19.06425,inceptionresnetv2_size299_batch12_trial_0,keras,inceptionresnetv2,299,12,0
4,384.14180779457087,19.06425,inceptionresnetv2_size299_batch12_trial_0,keras,inceptionresnetv2,299,12,0
0,429.9053211212158,27.81025,inceptionresnetv2_size299_batch12_trial_1,keras,inceptionresnetv2,299,12,1
1,385.82614302635193,27.81025,inceptionresnetv2_size299_batch12_trial_1,keras,inceptionresnetv2,299,12,1
2,385.71536016464233,27.81025,inceptionresnetv2_size299_batch12_trial_1,keras,inceptionresnetv2,299,12,1
3,385.77840876579285,27.81025,inceptionresnetv2_size299_batch12_trial_1,keras,inceptionresnetv2,299,12,1
4,385.7137823104858,27.81025,inceptionresnetv2_size299_batch12_trial_1,keras,inceptionresnetv2,299,12,1
0,451.49782633781433,43.14371,inceptionresnetv2_size299_batch12_trial_2,keras,inceptionresnetv2,299,12,2
1,387.9625866413117,43.14371,inceptionresnetv2_size299_batch12_trial_2,keras,inceptionresnetv2,299,12,2
2,388.4725706577301,43.14371,inceptionresnetv2_size299_batch12_trial_2,keras,inceptionresnetv2,299,12,2
3,387.5621531009674,43.14371,inceptionresnetv2_size299_batch12_trial_2,keras,inceptionresnetv2,299,12,2
4,387.47388911247253,43.14371,inceptionresnetv2_size299_batch12_trial_2,keras,inceptionresnetv2,299,12,2
0,218.42797446250918,5.60803,resnet50_size299_batch16_trial_0,keras,resnet50,299,16,0
1,207.41707015037537,5.60803,resnet50_size299_batch16_trial_0,keras,resnet50,299,16,0
2,207.1230595111847,5.60803,resnet50_size299_batch16_trial_0,keras,resnet50,299,16,0
3,207.21109890937802,5.60803,resnet50_size299_batch16_trial_0,keras,resnet50,299,16,0
4,207.1170139312744,5.60803,resnet50_size299_batch16_trial_0,keras,resnet50,299,16,0
0,221.3372790813446,7.09057,resnet50_size299_batch16_trial_1,keras,resnet50,299,16,1
1,209.4881908893585,7.09057,resnet50_size299_batch16_trial_1,keras,resnet50,299,16,1
2,209.6333999633789,7.09057,resnet50_size299_batch16_trial_1,keras,resnet50,299,16,1
3,209.56727290153503,7.09057,resnet50_size299_batch16_trial_1,keras,resnet50,299,16,1
4,209.39762735366818,7.09057,resnet50_size299_batch16_trial_1,keras,resnet50,299,16,1
0,225.0710883140564,9.60426,resnet50_size299_batch16_trial_2,keras,resnet50,299,16,2
1,209.6605291366577,9.60426,resnet50_size299_batch16_trial_2,keras,resnet50,299,16,2
2,209.57412219047544,9.60426,resnet50_size299_batch16_trial_2,keras,resnet50,299,16,2
3,209.5106041431427,9.60426,resnet50_size299_batch16_trial_2,keras,resnet50,299,16,2
4,209.45689868927,9.60426,resnet50_size299_batch16_trial_2,keras,resnet50,299,16,2
0,245.1627962589264,10.72374,densenet121_size299_batch12_trial_0,keras,densenet121,299,12,0
1,222.7061848640442,10.72374,densenet121_size299_batch12_trial_0,keras,densenet121,299,12,0
2,221.79589772224426,10.72374,densenet121_size299_batch12_trial_0,keras,densenet121,299,12,0
3,221.74526000022888,10.72374,densenet121_size299_batch12_trial_0,keras,densenet121,299,12,0
4,221.7534613609314,10.72374,densenet121_size299_batch12_trial_0,keras,densenet121,299,12,0
0,247.81062912940982,14.706610000000001,densenet121_size299_batch12_trial_1,keras,densenet121,299,12,1
1,223.9670653343201,14.706610000000001,densenet121_size299_batch12_trial_1,keras,densenet121,299,12,1
2,224.79121041297915,14.706610000000001,densenet121_size299_batch12_trial_1,keras,densenet121,299,12,1
3,224.76680326461792,14.706610000000001,densenet121_size299_batch12_trial_1,keras,densenet121,299,12,1
4,224.79629468917847,14.706610000000001,densenet121_size299_batch12_trial_1,keras,densenet121,299,12,1
0,260.59180283546453,22.237379999999998,densenet121_size299_batch12_trial_2,keras,densenet121,299,12,2
1,226.43680620193481,22.237379999999998,densenet121_size299_batch12_trial_2,keras,densenet121,299,12,2
2,226.57290482521057,22.237379999999998,densenet121_size299_batch12_trial_2,keras,densenet121,299,12,2
